sitename,county,aqi,status,pm2.5,datacreationdate,longigude
屏東(枋山),屏東縣,101,臭氧八小時,對敏感族群不健康,0.4,0.14
花蓮（美崙）,花蓮縣,35,,良好,0.2,0.23
新北（樹林）,新北市,69,二氧化氮,普通,2,0.65
台中市（和平區消防隊）,臺中市,56,細懸浮微粒,普通,0.7,0.36
屏東（琉球）,屏東縣,84,臭氧八小時,普通,1.1,0.21
臺南（麻豆）,臺南市,83,懸浮微粒,普通,1.1,0.22
高雄（湖內）,高雄市,108,細懸浮微粒,對敏感族群不健康,1.9,0.49
宜蘭（頭城）,宜蘭縣,40,,良好,1.5,0.14
員林,彰化縣,84,細懸浮微粒,普通,1.3,0.29
大城,彰化縣,61,細懸浮微粒,普通,0.8,
富貴角,新北市,46,,良好,0.6,0.19
麥寮,雲林縣,71,細懸浮微粒,普通,1,0.18
關山,臺東縣,34,,良好,0.4,0.14
馬公,澎湖縣,54,細懸浮微粒,普通,1,0.19
金門,金門縣,73,細懸浮微粒,普通,1.2,0.33
馬祖,連江縣,76,細懸浮微粒,普通,1.7,0.33
埔里,南投縣,56,細懸浮微粒,普通,1.6,0.34
復興,高雄市,102,細懸浮微粒,對敏感族群不健康,1.5,0.72
永和,新北市,33,,良好,0.3,0.46
竹山,南投縣,95,細懸浮微粒,普通,1.9,0.4
中壢,桃園市,76,細懸浮微粒,普通,1.8,1.36
三重,新北市,62,二氧化氮,普通,1.1,1.11
冬山,宜蘭縣,38,,良好,0.4,0.23
宜蘭,宜蘭縣,36,,良好,0.5,0.35
陽明,臺北市,39,,良好,0.5,0.19
花蓮,花蓮縣,34,,良好,1.3,0.42
臺東,臺東縣,37,,良好,,
恆春,屏東縣,40,,良好,0.4,0.13
潮州,屏東縣,103,細懸浮微粒,對敏感族群不健康,1.3,0.34
屏東,屏東縣,100,細懸浮微粒,普通,1.3,0.61
小港,高雄市,100,細懸浮微粒,普通,3.1,0.31
前鎮,高雄市,98,細懸浮微粒,普通,1.5,0.54
前金,高雄市,92,細懸浮微粒,普通,1.3,0.36
左營,高雄市,93,細懸浮微粒,普通,1.5,0.29
楠梓,高雄市,101,懸浮微粒,對敏感族群不健康,1.9,0.48
林園,高雄市,91,細懸浮微粒,普通,1,0.26
大寮,高雄市,105,細懸浮微粒,對敏感族群不健康,1.5,0.43
鳳山,高雄市,99,細懸浮微粒,普通,1.9,1.1
仁武,高雄市,95,細懸浮微粒,普通,1.2,0.42
橋頭,高雄市,116,細懸浮微粒,對敏感族群不健康,1.8,0.49
美濃,高雄市,96,細懸浮微粒,普通,1.2,0.35
臺南,臺南市,90,細懸浮微粒,普通,1.3,0.42
安南,臺南市,87,懸浮微粒,普通,0.6,0.26
善化,臺南市,88,細懸浮微粒,普通,1.4,0.25
新營,臺南市,79,細懸浮微粒,普通,0.7,0.26
嘉義,嘉義市,82,細懸浮微粒,普通,2.1,0.33
臺西,雲林縣,59,細懸浮微粒,普通,0.7,0.19
朴子,嘉義縣,74,細懸浮微粒,普通,1.7,0.24
新港,嘉義縣,79,細懸浮微粒,普通,0.9,0.2
崙背,雲林縣,92,細懸浮微粒,普通,0.8,0.21
斗六,雲林縣,90,細懸浮微粒,普通,1.9,0.38
南投,南投縣,74,細懸浮微粒,普通,1.5,0.36
二林,彰化縣,75,細懸浮微粒,普通,2.1,0.21
線西,彰化縣,65,細懸浮微粒,普通,1.3,0.2
彰化,彰化縣,74,細懸浮微粒,普通,0.6,0.26
西屯,臺中市,67,細懸浮微粒,普通,1.1,0.25
忠明,臺中市,75,細懸浮微粒,普通,1.4,0.32
大里,臺中市,74,細懸浮微粒,普通,1.3,0.46
沙鹿,臺中市,66,細懸浮微粒,普通,1,0.21
豐原,臺中市,80,細懸浮微粒,普通,2.3,0.29
三義,苗栗縣,52,細懸浮微粒,普通,1.1,0.25
苗栗,苗栗縣,61,細懸浮微粒,普通,1.7,0.2
頭份,苗栗縣,60,懸浮微粒,普通,1.4,0.27
新竹,新竹市,57,細懸浮微粒,普通,0.4,0.31
竹東,新竹縣,61,細懸浮微粒,普通,0,0.3
湖口,新竹縣,60,細懸浮微粒,普通,0.6,0.21
龍潭,桃園市,85,細懸浮微粒,普通,2.2,0.42
平鎮,桃園市,64,細懸浮微粒,普通,1.7,0.4
觀音,桃園市,50,,良好,0.5,0.17
大園,桃園市,60,細懸浮微粒,普通,1.8,0.34
桃園,桃園市,62,二氧化氮,普通,2.9,0.49
大同,臺北市,40,,良好,,
松山,臺北市,32,,良好,1.8,0.23
古亭,臺北市,36,,良好,1,0.39
萬華,臺北市,59,二氧化氮,普通,0.4,0.57
中山,臺北市,55,二氧化氮,普通,0.9,0.56
士林,臺北市,39,,良好,0.7,0.22
淡水,新北市,37,,良好,0.4,0.2
林口,新北市,43,,良好,1.3,0.36
菜寮,新北市,51,二氧化氮,普通,0.6,0.46
新莊,新北市,52,二氧化氮,普通,0.3,0.5
板橋,新北市,54,二氧化氮,普通,0.5,0.67
土城,新北市,35,,良好,0.6,0.45
新店,新北市,39,,良好,0.5,0.24
萬里,新北市,37,,良好,0.1,0.22
汐止,新北市,50,,良好,0.4,0.39
基隆,基隆市,39,,良好,0.9,0.19
屏東(枋山),屏東縣,115,臭氧八小時,對敏感族群不健康,0.8,0.19
花蓮（美崙）,花蓮縣,35,,良好,0.1,0.18
新北（樹林）,新北市,64,二氧化氮,普通,1.3,0.59
台中市（和平區消防隊）,臺中市,53,細懸浮微粒,普通,0.6,0.41
屏東（琉球）,屏東縣,84,細懸浮微粒,普通,1,0.21
臺南（麻豆）,臺南市,84,懸浮微粒,普通,1.3,0.23
高雄（湖內）,高雄市,104,細懸浮微粒,對敏感族群不健康,1.9,0.4
宜蘭（頭城）,宜蘭縣,41,,良好,1.4,0.14
員林,彰化縣,84,細懸浮微粒,普通,1.6,0.31
大城,彰化縣,62,細懸浮微粒,普通,0.8,
富貴角,新北市,46,,良好,1,0.18
麥寮,雲林縣,69,細懸浮微粒,普通,1.1,0.19
關山,臺東縣,33,,良好,0.6,0.14
馬公,澎湖縣,54,細懸浮微粒,普通,1,0.2
金門,金門縣,76,細懸浮微粒,普通,1.3,0.38
馬祖,連江縣,69,細懸浮微粒,普通,1.6,0.3
埔里,南投縣,52,細懸浮微粒,普通,1.7,0.36
復興,高雄市,101,細懸浮微粒,對敏感族群不健康,2.4,0.61
永和,新北市,33,,良好,0.3,0.42
竹山,南投縣,90,細懸浮微粒,普通,2.2,0.37
中壢,桃園市,72,細懸浮微粒,普通,1,1.09
三重,新北市,62,二氧化氮,普通,1.1,1.23
冬山,宜蘭縣,39,,良好,0.6,0.2
宜蘭,宜蘭縣,38,,良好,0.6,0.28
陽明,臺北市,39,,良好,0.4,0.19
花蓮,花蓮縣,36,,良好,1.1,0.43
臺東,臺東縣,37,,良好,0.7,0.25
恆春,屏東縣,40,,良好,1,0.14
潮州,屏東縣,97,細懸浮微粒,普通,1.6,0.32
屏東,屏東縣,104,細懸浮微粒,對敏感族群不健康,1.4,0.6
小港,高雄市,101,細懸浮微粒,對敏感族群不健康,2.7,0.32
前鎮,高雄市,95,細懸浮微粒,普通,3.2,0.35
前金,高雄市,93,細懸浮微粒,普通,1.2,0.39
左營,高雄市,95,細懸浮微粒,普通,1.4,0.27
楠梓,高雄市,99,細懸浮微粒,普通,2.1,0.46
林園,高雄市,91,細懸浮微粒,普通,1.1,0.26
大寮,高雄市,102,細懸浮微粒,對敏感族群不健康,1.4,0.45
鳳山,高雄市,101,細懸浮微粒,對敏感族群不健康,2.1,1.34
仁武,高雄市,96,細懸浮微粒,普通,1.4,0.43
橋頭,高雄市,113,細懸浮微粒,對敏感族群不健康,1.7,0.44
美濃,高雄市,84,細懸浮微粒,普通,1.3,0.3
臺南,臺南市,91,細懸浮微粒,普通,1.3,0.43
安南,臺南市,90,懸浮微粒,普通,0.9,0.29
善化,臺南市,87,細懸浮微粒,普通,1.6,0.25
新營,臺南市,81,懸浮微粒,普通,0.6,0.28
嘉義,嘉義市,78,細懸浮微粒,普通,1.9,0.3
臺西,雲林縣,62,細懸浮微粒,普通,0.6,0.2
朴子,嘉義縣,73,細懸浮微粒,普通,1.8,0.27
新港,嘉義縣,78,細懸浮微粒,普通,0.9,0.21
崙背,雲林縣,91,細懸浮微粒,普通,0.9,0.24
斗六,雲林縣,84,細懸浮微粒,普通,1.8,0.35
南投,南投縣,68,細懸浮微粒,普通,1.7,0.44
二林,彰化縣,76,細懸浮微粒,普通,2,0.23
線西,彰化縣,68,細懸浮微粒,普通,2.3,0.3
彰化,彰化縣,75,細懸浮微粒,普通,0.8,0.31
西屯,臺中市,66,細懸浮微粒,普通,1.1,0.28
忠明,臺中市,73,細懸浮微粒,普通,1.6,0.37
大里,臺中市,72,細懸浮微粒,普通,1.2,0.51
沙鹿,臺中市,68,細懸浮微粒,普通,1,0.23
豐原,臺中市,76,細懸浮微粒,普通,2.5,0.31
三義,苗栗縣,48,,良好,1.3,0.26
苗栗,苗栗縣,57,細懸浮微粒,普通,1.9,0.23
頭份,苗栗縣,57,懸浮微粒,普通,1.5,0.24
新竹,新竹市,56,細懸浮微粒,普通,0.3,0.39
竹東,新竹縣,59,細懸浮微粒,普通,0,0.37
湖口,新竹縣,61,細懸浮微粒,普通,0.7,0.3
龍潭,桃園市,81,細懸浮微粒,普通,2.9,0.53
平鎮,桃園市,59,細懸浮微粒,普通,1.5,0.44
觀音,桃園市,50,,良好,0.6,0.22
大園,桃園市,58,細懸浮微粒,普通,2.1,0.46
桃園,桃園市,64,二氧化氮,普通,4.2,0.56
大同,臺北市,62,二氧化氮,普通,1,1.06
松山,臺北市,32,,良好,1.8,0.25
古亭,臺北市,37,,良好,1.3,0.28
萬華,臺北市,57,二氧化氮,普通,0.4,0.54
中山,臺北市,57,二氧化氮,普通,0.9,0.73
士林,臺北市,39,,良好,0.6,0.26
淡水,新北市,37,,良好,0.4,0.24
林口,新北市,44,,良好,1.3,0.38
菜寮,新北市,52,二氧化氮,普通,0.6,0.57
新莊,新北市,38,,良好,0.4,0.41
板橋,新北市,54,二氧化氮,普通,0.3,0.68
土城,新北市,37,,良好,0.6,0.41
新店,新北市,39,,良好,0.4,0.29
萬里,新北市,39,,良好,0.2,0.21
汐止,新北市,33,,良好,0.4,0.34
基隆,基隆市,39,,良好,0.9,0.21
屏東(枋山),屏東縣,118,臭氧八小時,對敏感族群不健康,1.1,0.22
