sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,70,細懸浮微粒,普通,0.7,0.36,39,34,75,39,10,11.4,1.8,3.9,295,"2025-02-07 11:00",,0.2,19,38,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,34,,良好,0.1,0.21,47,37,11,6,4,8,4.1,6,39,"2025-02-07 11:00",,0.2,5,11,0,121.61575076,23.97709367,312
新北（樹林）,新北市,54,二氧化氮,普通,1,0.33,16,21,7,5,28,38.2,10.3,0,153,"2025-02-07 11:00",,0.3,2,4,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,56,細懸浮微粒,普通,,,,12,13,8,,,,0.1,17,"2025-02-07 11:00",,0.3,14,17,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,145,細懸浮微粒,對敏感族群不健康,4.8,0.68,26,16,71,46,23,31.3,7.9,2.1,322,"2025-02-07 11:00",,0.6,48,70,3,120.37722,22.35222,204
臺南（麻豆）,臺南市,67,細懸浮微粒,普通,0.5,0.32,34,28,36,14,9,10.7,1.5,3.6,354,"2025-02-07 11:00",,0.3,18,34,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,93,細懸浮微粒,普通,1.5,0.32,27,20,35,19,13,15.9,3,2,331,"2025-02-07 11:00",,0.3,28,43,2,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,38,,良好,0.8,0.21,42,42,11,1,4,5.8,1.2,2.8,60,"2025-02-07 11:00",,0.2,2,11,1,121.82463916,24.85366672,201
員林,彰化縣,44,,良好,1.1,0.31,,31,16,7,9,12.3,3.6,3.2,276,"2025-02-07 11:00",,0.2,11,17,1,120.5631893,23.9615945,139
大城,彰化縣,44,,良好,1,0.21,49,49,18,9,3,4.6,1.7,10.9,40,"2025-02-07 11:00",,0.2,8,19,0,120.26964167,23.85493056,85
富貴角,新北市,47,,良好,0.2,0.17,50,51,22,3,1,0.8,0,12,40,"2025-02-07 11:00",,0.2,3,19,0,121.53656894,25.29681695,84
麥寮,雲林縣,42,,良好,1.3,0.24,46,46,33,11,4,3.9,0,8.8,359,"2025-02-07 11:00",,0.2,10,21,2,120.251825,23.753506,83
關山,臺東縣,33,,良好,0,0.24,40,22,25,4,4,4.7,1.2,4.4,37,"2025-02-07 11:00",,0.2,7,20,0,121.161933,23.045083,80
馬公,澎湖縣,44,,良好,1.2,0.23,48,49,9,7,2,2.8,0.5,8,33,"2025-02-07 11:00",,0.2,7,13,1,119.566158,23.569031,78
金門,金門縣,38,,良好,1,0.36,33,33,8,12,6,7,1.3,2.3,30,"2025-02-07 11:00",,0.3,10,8,1,118.312256,24.432133,77
馬祖,連江縣,64,細懸浮微粒,普通,1.1,0.25,42,40,26,17,3,3.6,0.8,2.1,329,"2025-02-07 11:00",,0.2,17,25,0,119.952724,26.153736,75
埔里,南投縣,93,細懸浮微粒,普通,1.4,0.3,33,11,21,10,3,5.3,2.2,0.5,148,"2025-02-07 11:00",,0.4,28,38,1,120.967903,23.968842,72
